Category,Item,Qty,Notes/Specs,Seller Link,PRICE
Main Controller,ESP32 DevKit V1,1,DevKit V1,https://robu.in/product/esp-wroom-32-wifi-bluetooth-networking-smart-component-development-board/,409
Power,7.4V 6000mAh 2S LiPo,1,With BMS,Buy Pro-Range NMC 18650 7.4V 6000mAh 3C 2S2P Li-Ion Battery Pack Online at Robu.in,1199
Power,XT60 connector pair,1,Male+Female,Robocraze XT60 Connentor Pair (Yellow) (Pack of 4) : Amazon.in: Industrial & Scientific,260
Power,Rocker switch ≥5A,1,Toggle type,https://www.amazon.in/Rocker-Switch-Toggle-Plastic-Electronics/dp/B0GWS1MJB6/ref=sr_1_1?dib=eyJ2IjoiMSJ9.wyPdLAlnNch6qaIgUm_WB5CK2RM3MPt7g7QfT9izVonuSRVhlqSdBLKVp1EIx_rb3izzfQ0CdOhA-2APnTEzZgCOYGySrw_yDFZA_IYflJ1owTnVZ-vluSzaZj4pywlxO6xzExiLuCo7TbhSFAjUeIHw28A2aXMYZ4q7cUdJJLsttOeCS7JOF03qGa06yh8_2ApTg7y16YP4zXhkwq8er4S5uhnQ9XnwHZ8lKm_tzE66F5TQ0Wpdts34su8ajpzFuTsIa_1KnToBlQy6bWES4f_nzrPRwKKPS3AdhHCfB-Q.8wlAkBSCZw0sDTxZ2KT6Mv3BPik-BmsZObSJGnY96nc&dib_tag=se&keywords=rocker%2Bswitch&qid=1782305812&refinements=p_36%3A-9800&rnid=3444809031&sr=8-1&th=1,45
Power,LM2596 Buck Converter,1,7.4V→5V,https://www.amazon.in/LM2596-DC-DC-Buck-Converter-Module/dp/B009P04YTO/ref=pd_sbs_d_sccl_1_3/523-9198157-0212233?pd_rd_w=Belvk&content-id=amzn1.sym.d1406b44-aa69-47e4-9270-f613e12d52dc&pf_rd_p=d1406b44-aa69-47e4-9270-f613e12d52dc&pf_rd_r=WHPPZJSJ0P5VCX4NK4BB&pd_rd_wg=hAVqT&pd_rd_r=3b935aa7-6f20-4161-ba0d-dbaba01e628b&pd_rd_i=B009P04YTO&psc=1,98
Motor Drivers,TB6612FNG,2,Dual driver,Robu Services,249
Monitoring,INA219,1,Current sensor,xcluma INA219 I2C Bi-Directional High Side DC Current/Power Monitor Sensor Module : Amazon.in,275
Monitoring,"SSD1306 OLED 0.96""",1,I2C OLED,https://www.amazon.in/Robocraze-Semiconductor-Accessory-Display-Resolution/dp/B07Q7VZ716/ref=sr_1_3?crid=1D16WUW2BSO5L&dib=eyJ2IjoiMSJ9.28io9nvuYEE0kJPvAexrJOhhA2kcm9xOYMFU7lyVMEuP3wARdtJcenti69mE5zkjK3ONqnArlWiCMA0Gn6up8hw96IJKGOfBxUM_i0GVUhq7Ts8zK1-qXhDoV8DZqLtYYPiqKXhUp8znaMMJsLVu38Db58GDp4f_FVCuPeEdeu9HGpz2x-ZBHCrAgz7EeyrWKMn9fPGZb19H7iyo99ZtV7gKlZgtLd7c7lT3iuXH_i3yH0kdDIAAiJkAsloJKBzQJItuKn9oC1Rr-H1LoPESCGyB44u9NhCFwH_zr9OOiDU.zZCYmu_dacT9PcOC20DfcYTruaHHyn157jCR3xAyxxI&dib_tag=se&keywords=SSD1306+OLED+0.96%22&qid=1782199504&sprefix=%2Caps%2C239&sr=8-3,329
Cooling,5V brushless fan (30–40mm),1,Exhaust fan,https://www.amazon.in/Electronic-Spices-40x40x10mm-Brushless-Exhaust/dp/B0BC8FLML8/ref=sr_1_3?crid=1Z5958NQ7TGLR&dib=eyJ2IjoiMSJ9.auczW0FvvexPhRNAlPDHBXg8jsUP5S4KupbUGdZvaY_frddSyIC6HTLpXywYJ_QbCyJgHukpyVLII6fIwA_EyK4NC7Lgoor-5F2zGKnW2y_TDDdRzwyuyIzPbOzrQ1c8UBb10Y_a8QuGWwjFMnaI_LGkOyq0EOOitUx1W9k8-1ICsXhCcUdUxHkK2vDhUMn8CsqhB5smRlLdOsjWkZc8NtSMh6ZUlhT-OomfmjF9l5c.uTAncD7I6qFhDlqgITA2wJ1b1kh_u9jdYaOXtmQCwJY&dib_tag=se&keywords=5v+brushless+fan&qid=1780741830&sprefix=5v+brushless+fa%2Caps%2C265&sr=8-3,180
Cooling,AO3400A MOSFET,1,Logic-level,AO3400-30V 5.8A N-Channel Mosfet - SOT-23 Package - Pack Of 3 : Amazon.in,84
Cooling,10kΩ resistor,1,Gate pulldown,https://www.amazon.in/10K-ohm-Watt-Resistor-Tolerance/dp/B09VH1K4GW/ref=sr_1_9?crid=2ICSXBT7GVG15&dib=eyJ2IjoiMSJ9.XkViqnXpLqcg9k7Sj4Ow_jWYKnUQsx5p1Yv4R_Z0j3aq660-5GT1UVOEEexjVGM15msjKLyO7hYx1tn0beFIRVUk1T87jSQQnABLYABye0Qh6axV7C8RucGNH1gs_3wgzck7vWiuElhR-I8SumW4KmZhdLNkFqWGW22fZBIShwiRyFx2nzYF1aKUVSdiqD02Il_KozubrONDQ0TTk_-OppocpOnAm7Ea9EzK8aFF1Ra7z863oOHHpXEioUyW616cdoLI-PGX2c3tCEwFLkbgWog-tJu0ITEc-_mh_7HvOjo.1FGm5lQxelNfOOtNTH2ywZLJEX3LR7PkNxIj7lmnN0Y&dib_tag=se&keywords=10k%2Bresistor&qid=1782306473&sprefix=10k%2Bresistor%2Caps%2C337&sr=8-9,74
Capacitors,1000µF 16V electrolytic,1,Main rail,https://www.amazon.in/gp/product/B08X2PGPPV/ref=ewc_pr_img_1?smid=A2JDRZEGU1IDE2&psc=1,89
Capacitors,100µF 16V electrolytic,2,TB6612 rails,100uF 16V Electrolytic Capacitor 105C 5x11mm- Samwha - Pack Of 8 : Amazon.in,79
Capacitors,0.1µF ceramic,2,TB6612 rails,https://www.amazon.in/0-1uF-104-Ceramic-Capacitor-Pack/dp/B0F5MYTYQ3/ref=sr_1_3?crid=2ML0UG6TIFY4&dib=eyJ2IjoiMSJ9.1YhVWgH8iQS5XAQCGv_BAohvVpmskzB7_Uuw2lqcBgHtMbmR-wa0bx5G9wOn4Eu81lysAHRuTSLcTXFcLBLCjrghMxWd8h7SKSh_yWXqSCT5bWnXA9goaPIqQ1lVRgjt7N5qq-qfH2TLtpCBcCdrnTk5IIeuRGeTaWNOu9qI8BU-dVV3nduwf37d4jZTYsaNqxM2anY2HFlqkbRgefCyR0bsXBaTDaoeGCwm4lrnVe4.FCHwIj6Ebqyp51fxswGJCtgq1tFr5EcDv4bcgDe3xeQ&dib_tag=se&keywords=0.1%C2%B5f+ceramic+capacitor&qid=1782306599&sprefix=0.1%C2%B5f+ceramic+capacitor%2Caps%2C325&sr=8-3,79
Hardware,M3 Screw Kit,1 set,Assorted sizes,https://www.amazon.in/gp/product/B0FQWLQMXV/ref=ox_sc_act_title_1?smid=A3QJ5W17I5NVD&psc=1,360
DRIVE,12V geared DC Motor,4,12V 200 RPM,D&V 12V 200 RPM Geared DC Motor & Original Metal Gears (YELLOW) : Amazon.in,500
Cooling,DHTT22 temp+humidity sensor ,1,Fan controls,https://www.amazon.in/AM2302-Temperature-Humidity-Sensor-Module/dp/B0CXMJH34D/ref=sr_1_1?crid=WOPU9OB6RKYM&dib=eyJ2IjoiMSJ9.DoKNQibmZRYQ07G1ERxo3gbGjbnaR5jQ4raoUQ307DvGrGI8lX8z_NhaS0KDw7ZSFG6RkVA-V9EY7X5O9QjMSF6ThL4vMRX9cktYFckffsxPMJMRPqumhk1ETT2XZReh8tfWir9j4EFmLISJiBVOfGE1qggTzGR0EePihWGHfzxJvIGMqfBz9kzXe9BUyYCiLoIZJaROQPX0ClZX8f0ch0rczwiy_sormmyLRtCuh2USmiq2-TcuJKJDkfzusgPey9T4X-sV8CsT7v5JgJIUQFtGgnyG9eZJsTXSlbuXXAs.fa6Qigp5qRuzZdOvjoF6jnKLUsH9Bc47SWfIHK53Lws&dib_tag=se&keywords=Dht22t&qid=1782307615&sprefix=dht22%2Caps%2C285&sr=8-1,160
Resistors,100ohm resistor,1,pull up,100 Ohm 1/4 Watt Resistor 1% Tolerance - Pack Of 18 : Amazon.in,80
Wires,JST-XH connectors,4,Battery connectors,https://www.amazon.in/Electronic-Spices-Connector-2-5mm-Female/dp/B0BKWDKB1W/ref=sr_1_9?crid=202J1LFGFB4L7&dib=eyJ2IjoiMSJ9.s_ZcQZVV3ZHyQVY_clNUk1X6lktpRonPkiRjFRiMT34algVd1cr2AVyvCBikY_EGMkm21NHCdGHRu1VUgpEWanJcmlF1NV1l3lVfsplLFqKLxm-HJPv4bpaav6sNdxOS0epC22Ff8gO_4IvSFaDzHKN2VqAZI3Y05BOhY97SA7uOgO03soOJm4nHNSVo79WG--5LNFyWZvOrmClEcxw4gc4vH2P_P6wTcgc8KcnjFeVmrkL4iYY9N-VfuC_JDK1U-noE06G9vQyOJftSNwNlJk4NQ9ebDH-SJgonIWDYdOY.Sql4me2kqzfCq8tQV5EDoO1q7iciowJSHkqquK2MP4U&dib_tag=se&keywords=Xh+Jst+Wire+Connector&qid=1782307690&s=industrial&sprefix=xh+jst+wire+connector%2Cindustrial%2C249&sr=1-9,109
Wires, 1mtr 18 AWG 0.75 sq.mm High Durability 20A Tinned Copper Silicone ,,Batt,https://www.amazon.in/gp/product/B09VLDN5LN/ref=ox_sc_act_title_1?smid=ARY8SMPB4PT5P&psc=1,300
DRIVE,85 mm Wheels,4,wheels,https://www.amazon.in/INVENTO-Plastic-Robotic-Durable-Rubber/dp/B07YNQSLKX/ref=sr_1_5?crid=3JEHHA6RIO4K5&dib=eyJ2IjoiMSJ9.VxWe4kFhcaj3v5kJxQsvnSXC9iD3wD6_lDmp_DJYfrebsiBx2NcM5sIr2I1hMMR8nF8JHNDozsZ5mpyHYTA66GQCZZvyDUOWWvu6W8s-mlnsXZE9lPbeDhJQ6jCoUDt0YdXmQf8sp7y_cXGFbAC17n8DwsSudkJOkAGmRtBeZ1RyZvRrDHlHFooNhfFuFqpjW9q333689shQMxHpKPCcq4j8SfdKLL870I9T9SmUVGhsb2WPPgYM5o_pYzunKPyVV8Wd254QewLBicjAIdkesObXdPu-YnfCCYoKZXcdiF4.fvRfpxTVkQgPQ82m5hVfDB91gwgnxCREY6fs7MfhsWA&dib_tag=se&keywords=85mm+wheels&qid=1782199175&sprefix=85mm+wheel%2Caps%2C317&sr=8-5,749
Hardware,M3 standoffs,20,standoffs,https://www.amazon.in/gp/product/B07T34Q6G6/ref=ewc_pr_img_2?smid=A2T2VVVR73CQ02&psc=1,300
Hardware,12*8 Perfboard,1,perfboard,https://www.amazon.in/xcluma-Double-Copper-Prototype-Universal/dp/B073DF2CB9/ref=sr_1_2?crid=1DE5A790DAZC0&dib=eyJ2IjoiMSJ9.xj9tlgJaI4PadOMGnSlkLRnSB7TswI3CW271BGDrYF63qDwy5njnHsfR5Hvw1aHQ0vbjHdBR51LBRJzEysmAZPiDws4uhcR5oVsYFwzYL5ehGgIMCVwKQm6JPYdCzaYGkcbYciNLzyp58SjW96n0EmBugw2ihs7KdJ3kLpnDh9iKqn98cemTJ4uZAFw_-2VnstzBqXTUmAmW2ngraubJ1u9NZfduGDBMT43VKhA7MgVu5L0WSX17TBeKsLXw-KLYxRYrwrw6z_Ncm_vhn0HVqmXl7cp0v1p48yPeJ59bCQY.HblkgUkjfyip15fW80n6WrIlbiGcq1SGzNjvJfClHRw&dib_tag=se&keywords=perfboard+12%288&qid=1782200118&sprefix=perfboard+12+%2Caps%2C277&sr=8-2,125
PHONE MOUNT,Rubber Bands,3,holds phone,"https://www.amazon.in/cart/smart-wagon?newItems=2356efb0-3c12-4c21-a734-ce8c3620b643,1&ref_=sw_refresh",150
CHARGER,2s LI-ion battery charger,1,for battery,https://robu.in/product/lithium-battery-charger-8-4v-1a-with-dc-plug-2-indicators/,676
CHASIS,WHITE PLA 1kg,1,printed for chasis,https://www.amazon.in/WOL-3D-Filament-Improved-Formula/dp/B08D6N1HHK/ref=sr_1_1_sspa?crid=1HF795K7DLTBC&dib=eyJ2IjoiMSJ9.fTANBtonVkN1V1aFsohpGRcBvrqFABhkTd-Z4gJ3KcbHCySFF-OvlETPzGOZHlYxAwwu-SK_RTPDHZhOfAH-fHwcdINVMiKu-56Q_iJrQm7TO6r2FaabotilJ7KotU-gN0Mr8WQvix49sHDUP0W1qLXPVEoGcqg2xKrKMpybTnnuXhKEfS8nKVIazcg575DYk57nNvvSlc-08ZJE9B3qRLKy5N4zOHIFd4KrbqST905G0XDOX5vEUSpa9ZCCC0bKDBCwDfuJcHQroHitSUrBo4K4YWMqtk5BbpK_sGV0wt4.cvJDwdRXjh19hhSaKdVMpNpIPG5RlnvDKUaMNl7_Wek&dib_tag=se&keywords=1kg%2BPLA&qid=1782303757&sprefix=1kg%2Bpla%2Caps%2C271&sr=8-1-spons&aref=4GGpKLODV2&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,899
,,,,,7857